Accession	Protein_name	Database
IPI00935456	ATP-citrate synthase	International Protein Index (IPI)
IPI00645255	GDP dissociation inhibitor 2	International Protein Index (IPI)
IPI00514649	Histone deacetylase 1	International Protein Index (IPI)
IPI00024387	Hepatocyte nuclear factor 3-alpha	International Protein Index (IPI)
IPI00916763	Putative uncharacterized  protein HSPE1	International Protein Index (IPI)
IPI00910980	IARS protein	International Protein Index (IPI)
IPI00793119	Transketolase	International Protein Index (IPI)
IPI00795293	Syntaxin 16	International Protein Index (IPI)
IPI00909013	Increased sodium tolerance 1 homolog	International Protein Index (IPI)
IPI00604451	Osteosarcoma amplified 9 isoform 4 precursor	International Protein Index (IPI)
IPI00642210	Tudor and KH domain-containing protein	International Protein Index (IPI)
IPI00925571	Lemur tyrosine kinase 2	International Protein Index (IPI)
IPI00910327	Origin recognition complex subunit 3	International Protein Index (IPI)
IPI00941110	Protein unc-84 homolog B	International Protein Index (IPI)
IPI00782981	ATP-binding cassette sub-family A member 12	International Protein Index (IPI)
IPI00642046	RSL1D1 protein	International Protein Index (IPI)
IPI00939672	Leucyl-tRNA synthetase, cytoplasmic	International Protein Index (IPI)
IPI00435974	FP2823	International Protein Index (IPI)
IPI00872800	MSN5 PROTEIN	International Protein Index (IPI)
IPI00925908	Transmembrane  protein 168	International Protein Index (IPI)
IPI00647946	Protein	International Protein Index (IPI)
IPI00939142	Agrin	International Protein Index (IPI)
IPI00886090.1	22 kDa protein	International Protein Index (IPI)
IPI00653962.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00404590.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00757353.2	Spectrin alpha 2	International Protein Index (IPI)
IPI00758356.1	32 kDa protein	International Protein Index (IPI)
IPI00654405.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00875282.1	24 kDa protein	International Protein Index (IPI)
IPI00886422.1	15 kDa protein	International Protein Index (IPI)
IPI00849080.1	Similar to PTB-associated splicing factor	International Protein Index (IPI)
IPI00850468.1	Tripartite motif protein 21	International Protein Index (IPI)
IPI00380130.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00379513.6	Far upstream element (FUSE) binding protein 3	International Protein Index (IPI)
IPI00775821.1	RNA binding motif protein, X chromosome, isoform CRA_b	International Protein Index (IPI)
IPI00857127.1	Eukaryotic translation initiation factor 4A2 isoform c	International Protein Index (IPI)
IPI00853788.1	Similar to ribosomal protein L19	International Protein Index (IPI)
IPI00132856.1	Similar to 40S ribosomal protein S29	International Protein Index (IPI)
IPI00876083.1	High glucose-regulated protein 8	International Protein Index (IPI)
IPI00849761.1	Similar to neurofilament protein	International Protein Index (IPI)
IPI00353420.7	Utrophin	International Protein Index (IPI)
IPI00229201.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00466032.3	ELAV (embryonic lethal, abnormal vision, Drosophila)-like 1	International Protein Index (IPI)
IPI00830154.1	25 kDa protein	International Protein Index (IPI)
IPI00751607.1	Similar to hCG45299 isoform 2	International Protein Index (IPI)
IPI00807899.1	Tardbp protein	International Protein Index (IPI)
IPI00310880.4	Arginine/serine-rich splicing factor 6	International Protein Index (IPI)
IPI00890027.1	19 kDa protein	International Protein Index (IPI)
IPI00856697.1	24 kDa protein	International Protein Index (IPI)
IPI00874512.1	90 kDa protein	International Protein Index (IPI)
IPI00876559.1	KH type splicing regulatory protein KSRP	International Protein Index (IPI)
IPI00884482.3	Microtubule-actin crosslinking factor 1b	International Protein Index (IPI)
IPI00880839.1	Heat shock protein 9	International Protein Index (IPI)
IPI00889986.1	21 kDa protein	International Protein Index (IPI)
IPI00875966.1	Dgkh protein	International Protein Index (IPI)
IPI00515155.1	Nucleophosmin 1	International Protein Index (IPI)
IPI00857651.1	20 kDa protein	International Protein Index (IPI)
IPI00849556.1	Similar to heterogeneous nuclear ribonucleoprotein A3	International Protein Index (IPI)
IPI00895322.1	27 kDa protein	International Protein Index (IPI)
IPI00876427.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00399958.3	Calumenin isoform 2	International Protein Index (IPI)
IPI00752782.1	16 kDa protein	International Protein Index (IPI)
IPI00381715.5	Similar to Snrpf protein	International Protein Index (IPI)
IPI00857067.1	28 kDa protein	International Protein Index (IPI)
IPI00649199.1	LIM and SH3 protein 1	International Protein Index (IPI)
IPI00130391.1	Protease, serine, 1	International Protein Index (IPI)
IPI00875279.1	MCG13402, isoform CRA_d	International Protein Index (IPI)
IPI00886297.1	Hspa8 protein	International Protein Index (IPI)
IPI00387494.1	Heat shock protein 2	International Protein Index (IPI)
IPI00885268.1	Protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2	International Protein Index (IPI)
IPI00750428.2	Similar to heterogeneous nuclear ribonucleoprotein A3, isoform 13	International Protein Index (IPI)
IPI00880812.1	LanC (Bacterial lantibiotic synthetase component C)-like 1	International Protein Index (IPI)
IPI00928390.1	27 kDa protein	International Protein Index (IPI)
IPI00762525.2	18 kDa protein	International Protein Index (IPI)
IPI00120475.1	Hypothetical protein	International Protein Index (IPI)
IPI00653682.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00471047.2	RIKEN cDNA 1110033J19	International Protein Index (IPI)
IPI00928035.1	7 kDa protein	International Protein Index (IPI)
IPI00890863.1	Eukaryotic translation initiation factor 4A2 isoform b	International Protein Index (IPI)
IPI00651852.1	Histone H2A	International Protein Index (IPI)
IPI00457901.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00649130.1	PR domain containing 16	International Protein Index (IPI)
IPI00648352.2	Eukaryotic translation initiation factor 4A, isoform 3	International Protein Index (IPI)
IPI00776203.1	Renin binding protein isoform 2	International Protein Index (IPI)
IPI00457948.1	Similar to X83328 protein	International Protein Index (IPI)
IPI00886201.1	13 kDa protein	International Protein Index (IPI)
IPI00857439.1	55 kDa protein	International Protein Index (IPI)
IPI00754013.2	Far upstream element (FUSE) binding protein 3	International Protein Index (IPI)
IPI00480558.4	25 kDa protein	International Protein Index (IPI)
IPI00606764.1	Similar to 67 kda laminin receptor	International Protein Index (IPI)
IPI00885292.1	Annexin A2	International Protein Index (IPI)
IPI00896574.1	Thymopoietin isoform alpha	International Protein Index (IPI)
IPI00830803.1	Fibulin 2 isoform b	International Protein Index (IPI)
IPI00889980.1	Enolase 1, alpha non-neuron	International Protein Index (IPI)
IPI00830427.1	Tropomyosin 1, alpha isoform 9	International Protein Index (IPI)
IPI00830538.1	29 kDa protein	International Protein Index (IPI)
IPI00885455.1	Annexin A2	International Protein Index (IPI)
IPI00408243.1	Single-stranded DNA binding protein 1 isoform 1	International Protein Index (IPI)
IPI00750790.1	Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, beta	International Protein Index (IPI)
IPI00461567.3	Similar to Smo protein	International Protein Index (IPI)
IPI00677111.1	Similar to Chain C, Structure Of A Hif-1a-Pvhl-Elonginb-Elonginc Complex	International Protein Index (IPI)
IPI00875420.1	48 kDa protein	International Protein Index (IPI)
IPI00918041.1	Heterogeneous nuclear ribonucleoprotein M	International Protein Index (IPI)
IPI00136883.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00853851.1	Similar to 14-3-3 zeta	International Protein Index (IPI)
IPI00468717.7	Similar to Npm1 protein	International Protein Index (IPI)
IPI00473227.1	Enolase	International Protein Index (IPI)
IPI00553596.1	Sdf2 protein	International Protein Index (IPI)
IPI00623518.2	Similar to DnaJ-like protein	International Protein Index (IPI)
IPI00648759.3	Stomatin (Epb7.2)-like 2	International Protein Index (IPI)
IPI00928073.1	42 kDa protein	International Protein Index (IPI)
IPI00938540.1	Transporter 1, ATP-binding cassette, sub-family B isoform 2	International Protein Index (IPI)
IPI00930754.1	Septin 2 b	International Protein Index (IPI)
IPI00132347.1	MCG67985	International Protein Index (IPI)
IPI00377481.5	Putative uncharacterized protein	International Protein Index (IPI)
IPI00831704.1	13 kDa protein	International Protein Index (IPI)
2137191	Caveolin beta form	NCBInr
6425087	Gamma actin-like protein	NCBInr
7329158	Vacuolar proton-translocating atpase 100 kda subunit isoform a3	NCBInr
15420856	Glial cell line derived neurotrophic factor family receptor alpha 2	NCBInr
20987936	Farp1 protein	NCBInr
37360618	Rab15, member ras oncogene family	NCBInr
37514861	Vascular cell adhesion molecule 1	NCBInr
38325830	Cd90.1	NCBInr
49903616	Rpl12 protein	NCBInr
51708339	Predicted: hypothetical protein	NCBInr
61743961	Ahnak nucleoprotein isoform 1	NCBInr
63572172	Ribosomal protein l27a	NCBInr
70912321	Anxa1	NCBInr
71037403	Myosin light chain, regulatory b-like	NCBInr
74147756	Unnamed protein product	NCBInr
74183811	Anxa1	NCBInr
74191190	Flotillin 1	NCBInr
74211814	Annexin a6	NCBInr
74217716	Guanine nucleotide-binding protein, beta-1 subunit	NCBInr
74220396	Surfeit gene 4	NCBInr
74225872	S100 calcium binding protein a10	NCBInr
119943145	Glypican 6 isoform 1	NCBInr
149253488	Tubulin, beta 2c	NCBInr
149270772	Predicted: similar to myoferlin (fer-1-like protein 3) isoform 1	NCBInr
149274981	Predicted: hypothetical protein	NCBInr
240120042	Myosin ib isoform 1	NCBInr
IPI00649388.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00874516.1	LIM domain and actin binding 1 isoform b	International Protein Index (IPI)
IPI00405977.6	Microtubule-actin crosslinking factor 1	International Protein Index (IPI)
IPI00831629.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00856331.1	15 kDa protein	International Protein Index (IPI)
IPI00677756.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00113713.1	Hypothetical protein	International Protein Index (IPI)
IPI00463297.4	Hypothetical protein	International Protein Index (IPI)
IPI00895415.1	75 kDa protein	International Protein Index (IPI)
IPI00125787.4	Hypothetical protein isoform 3	International Protein Index (IPI)
IPI00876212.1	17 kDa protein	International Protein Index (IPI)
IPI00830265.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00277446.5	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00850681.1	Similar to 60S ribosomal protein L9 isoform 2	International Protein Index (IPI)
IPI00928007.1	212 kDa protein	International Protein Index (IPI)
IPI00856453.1	Eif4g1 protein	International Protein Index (IPI)
IPI00652902.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00830223.1	Tropomyosin 1, alpha isoform 10	International Protein Index (IPI)
IPI00885367.1	Annexin A2	International Protein Index (IPI)
IPI00885682.1	Protein	International Protein Index (IPI)
IPI00896681.1	Erbb2ip protein	International Protein Index (IPI)
IPI00874598.1	82 kDa protein	International Protein Index (IPI)
IPI00918735.1	Protein	International Protein Index (IPI)
IPI00850395.1	Similar to ribosomal protein L35a	International Protein Index (IPI)
IPI00666885.3	DnaJ (Hsp40) homolog, subfamily C, member 13	International Protein Index (IPI)
IPI00889927.2	Nice-4 protein homolog isoform 6	International Protein Index (IPI)
IPI00649123.1	Adipose differentiation related protein	International Protein Index (IPI)
IPI00849155.1	Similar to hCG2016250	International Protein Index (IPI)
IPI00340165.5	21 kDa protein	International Protein Index (IPI)
IPI00118775.1	Similar to ribosomal protein L30	International Protein Index (IPI)
IPI00754211.1	Similar to Mus musculus ribosomal protein L19	International Protein Index (IPI)
IPI00817040.1	Eukaryotic translation initiation factor 4, gamma 2 isoform 2	International Protein Index (IPI)
IPI00943398.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00310240.4	Annexin A6 isoform b	International Protein Index (IPI)
IPI00848989.1	Similar to Chain  , Calmodulin	International Protein Index (IPI)
IPI00754704.2	Farsla protein	International Protein Index (IPI)
IPI00475041.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00853924.1	34 kDa protein	International Protein Index (IPI)
IPI00918576.1	Protein	International Protein Index (IPI)
IPI00346965.5	Adaptor protein complex AP-1, beta 1 subunit	International Protein Index (IPI)
IPI00330406.2	DEAD (Asp-Glu-Ala-Asp) box polypeptide 23	International Protein Index (IPI)
IPI00648714.1	16 kDa protein	International Protein Index (IPI)
IPI00750947.1	Tumor protein D52-like 2	International Protein Index (IPI)
IPI00874489.2	33 kDa protein	International Protein Index (IPI)
IPI00409405.2	Similar to Cofilin-1 (Cofilin, non-muscle isoform) isoform 1	International Protein Index (IPI)
IPI00649293.1	11 kDa protein	International Protein Index (IPI)
IPI00754398.1	Ldha protein	International Protein Index (IPI)
IPI00828758.2	Apolipoprotein O-like	International Protein Index (IPI)
IPI00277930.6	Putative uncharacteri	International Protein Index (IPI)
IPI00881643.1	23 kDa protein	International Protein Index (IPI)
IPI00880953.1	7 kDa protein	International Protein Index (IPI)
IPI00858302.1	Copine I	International Protein Index (IPI)
IPI00648280.2	Syndecan binding protein isoform 2	International Protein Index (IPI)
IPI00758064.1	Proteasome (Prosome, macropain) 26S subunit ATPase 3	International Protein Index (IPI)
IPI00378385.2	Coiled-coil domain containing 147	International Protein Index (IPI)
IPI00880795.1	Histidine triad nucleotide binding protein	International Protein Index (IPI)
IPI00139518.3	Ubiquitin B	International Protein Index (IPI)
IPI00754096.1	Clathrin interactor 1	International Protein Index (IPI)
IPI00621975.2	Similar to Probable ATP-dependent RNA helicase DDX46	International Protein Index (IPI)
IPI00132346.2	CEA-related cell adhesion molecule 14	International Protein Index (IPI)
IPI00894742.1	55 kDa protein	International Protein Index (IPI)
IPI00880730.1	55 kDa protein	International Protein Index (IPI)
IPI00856290.1	8 kDa protein	International Protein Index (IPI)
IPI00460019.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00652871.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00881242.1	6 kDa protein	International Protein Index (IPI)
IPI00271869.1	Similar to Glyceraldehyde-3-phosphate dehydrogenase	International Protein Index (IPI)
IPI00830660.1	24 kDa protein	International Protein Index (IPI)
IPI00776312.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	International Protein Index (IPI)
IPI00858261.1	8 kDa protein	International Protein Index (IPI)
IPI00918886.1	47 kDa protein	International Protein Index (IPI)
IPI00752195.1	GAIP/RGS19 short isoform	International Protein Index (IPI)
IPI00929857.2	Golgi autoantigen, golgin subfamily b, macrogolgin 1	International Protein Index (IPI)
IPI00919068.1	8 kDa protein	International Protein Index (IPI)
IPI00850695.1	Similar to Anp32b protein	International Protein Index (IPI)
IPI00653573.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00515199.1	Ewing sarcoma breakpoint region 1	International Protein Index (IPI)
IPI00380335.3	Coatomer protein complex, subunit gamma	International Protein Index (IPI)
IPI00322314.3	B lymphoid tyrosine kinase	International Protein Index (IPI)
IPI00896700.1	Microtubule-associated protein 1B	International Protein Index (IPI)
IPI00881499.1	80 kDa protein	International Protein Index (IPI)
IPI00918185.1	Protein	International Protein Index (IPI)
IPI00751087.1	Dolichol-phosphate (Beta-D) mannosyltransferase 1	International Protein Index (IPI)
IPI00856322.1	12 kDa protein	International Protein Index (IPI)
IPI00753870.1	Tumor protein D52-like 2, isoform CRA_a	International Protein Index (IPI)
IPI00553278.2	H-2D cell surface glycoprotein (Fragment)	International Protein Index (IPI)
IPI00876161.1	Likely ortholog of H. sapiens chromosome 9 open reading frame 5	International Protein Index (IPI)
IPI00420543.3	ATPase, class VI, type 11B	International Protein Index (IPI)
IPI00850755.1	Similar to proliferating cell nuclear antigen (DNA polymerase delta auxiliary protein) isoform 2	International Protein Index (IPI)
IPI00754943.1	20 kDa protein	International Protein Index (IPI)
IPI00880617.1	19 kDa protein	International Protein Index (IPI)
IPI00623553.1	Hypothetical protein	International Protein Index (IPI)
IPI00177179.3	Poliovirus receptor	International Protein Index (IPI)
IPI00474872.1	mRNA	International Protein Index (IPI)
IPI00474787.1	mRNA	International Protein Index (IPI)
IPI00420727.5	Signal peptidase complex subunit 3	International Protein Index (IPI)
IPI00875965.1	26 kDa protein	International Protein Index (IPI)
IPI00894977.1	20 kDa protein	International Protein Index (IPI)
IPI00750917.2	ATPase, Ca++ transporting, plasma membrane 4	International Protein Index (IPI)
IPI00775993.1	Janus kinase 1	International Protein Index (IPI)
IPI00881750.1	14 kDa protein	International Protein Index (IPI)
IPI00785414.1	MHC class Ia H2-K antigen (Fragment)	International Protein Index (IPI)
IPI00845660.1	H2-D1 protein (Fragment)	International Protein Index (IPI)
IPI00881799.1	ATP synthase, H+ transporting, mitochondrial F0 complex, subunit d	International Protein Index (IPI)
IPI00230064.2	Solute carrier family 12, member 6 isoform 1	International Protein Index (IPI)
IPI00881557.1	47 kDa protein	International Protein Index (IPI)
IPI00762595.1	mRNA	International Protein Index (IPI)
IPI00473538.2	MHC class I heavy chain H2-K	International Protein Index (IPI)
IPI00473232.1	Arylacetamide deacetylase-like 1, isoform CRA_c	International Protein Index (IPI)
IPI00309964.3	Nicotinamide nucleotide transhydrogenase precursor	International Protein Index (IPI)
IPI00108371.3	Serine carboxypeptidase 1 precursor	International Protein Index (IPI)
IPI00460855.1	cDNA fis, clone TRACH3016614, moderately similar to Peptidyl-prolyl cis-trans isomerase B	International Protein Index (IPI)
IPI00853656.1	14 kDa protein	International Protein Index (IPI)
IPI00658401.5	Similar to GCN1 general control of amino-acid synthesis 1-like 1	International Protein Index (IPI)
IPI00831676.1	237 kDa protein	International Protein Index (IPI)
IPI00857618.1	26 kDa protein	International Protein Index (IPI)
IPI00830554.2	Torsin A interacting protein 1 isoform 3	International Protein Index (IPI)
IPI00125208.6	Nuclear receptor coactivator 4	International Protein Index (IPI)
IPI00672270.1	Similar to translocon-associated protein alpha, muscle specific	International Protein Index (IPI)
IPI00831063.1	18 kDa protein	International Protein Index (IPI)
IPI00459111.4	Rab6/rab5-associated protein	International Protein Index (IPI)
IPI00667092.4	MKIAA0233 protein (Fragment)	International Protein Index (IPI)
IPI00666574.1	TIP47 protein isoform 2	International Protein Index (IPI)
IPI00751863.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00919154.1	7 kDa protein	International Protein Index (IPI)
IPI00755966.1	Bcl2-like 1	International Protein Index (IPI)
IPI00857509.1	19 kDa protein	International Protein Index (IPI)
IPI00889805.1	Hypothetical protein	International Protein Index (IPI)
IPI00405303.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00474904.3	Aspartly beta-hydroxylase	International Protein Index (IPI)
IPI00653905.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00649344.1	Transmembrane emp24 protein transport domain containing 4	International Protein Index (IPI)
IPI00623842.4	MKIAA1825 protein	International Protein Index (IPI)
IPI00894964.1	17 kDa protein	International Protein Index (IPI)
IPI00648237.1	Itga3 protein	International Protein Index (IPI)
IPI00885547.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00556827.1	Plasma membrane calcium ATPase 1	International Protein Index (IPI)
IPI00894982.1	10 kDa protein	International Protein Index (IPI)
IPI00919100.1	Protein	International Protein Index (IPI)
IPI00403867.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00885591.1	7 kDa protein	International Protein Index (IPI)
IPI00331284.1	Vesicle transport through interaction with t-SNAREs 1B	International Protein Index (IPI)
IPI00649471.1	Golgi SNAP receptor complex member 2, isoform CRA_a	International Protein Index (IPI)
IPI00750168.1	Similar to SSXB5 protein	International Protein Index (IPI)
IPI00881254.1	12 kDa protein	International Protein Index (IPI)
IPI00918343.1	6 kDa protein	International Protein Index (IPI)
IPI00463493.1	Golgi-specific brefeldin A-resistance factor 1	International Protein Index (IPI)
IPI00458129.1	Similar to Rab6 protein	International Protein Index (IPI)
IPI00752080.1	Integrin alpha V	International Protein Index (IPI)
IPI00918701.1	9 kDa protein	International Protein Index (IPI)
IPI00114382.5	Csnk1g2 protein	International Protein Index (IPI)
IPI00830433.1	Axl protein	International Protein Index (IPI)
IPI00881090.1	26 kDa protein	International Protein Index (IPI)
IPI00128022.2	Protocadherin 7 isoform 2	International Protein Index (IPI)
IPI00885326.1	Novel protein	International Protein Index (IPI)
IPI00858306.1	31 kDa protein	International Protein Index (IPI)
IPI00226260.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00221828.2	Dcakd protein (Fragment)	International Protein Index (IPI)
IPI00607961.1	Transmembrane protein 33 isoform 2	International Protein Index (IPI)
IPI00461581.1	Bzw2 protein	International Protein Index (IPI)
IPI00882287.1	Etfdh protein	International Protein Index (IPI)
IPI00858189.1	14 kDa protein	International Protein Index (IPI)
IPI00831534.1	51 kDa protein	International Protein Index (IPI)
IPI00649187.1	29 kDa protein	International Protein Index (IPI)
IPI00654073.1	Putative uncharacterized protein (Fragment)	International Protein Index (IPI)
IPI00830454.1	131 kDa protein	International Protein Index (IPI)
IPI00849548.1	Similar to Rab5B	International Protein Index (IPI)
IPI00665857.2	Similar to EF-hand Ca2+ binding protein p22	International Protein Index (IPI)
IPI00922970.1	Sec22a protein	International Protein Index (IPI)
IPI00754923.1	Histocompatibility 13	International Protein Index (IPI)
IPI00944682.1	Signal peptide peptidase-like 2A	International Protein Index (IPI)
IPI00670400.2	MCG51135, isoform CRA_c	International Protein Index (IPI)
IPI00875326.1	33 kDa protein	International Protein Index (IPI)
IPI00648802.2	Ephrin receptor	International Protein Index (IPI)
IPI00330649.4	Myosin IE	International Protein Index (IPI)
IPI00756275.2	MKIAA0315 protein	International Protein Index (IPI)
IPI00775955.1	Transporter	International Protein Index (IPI)
IPI00458795.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00346482.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00749680.1	Wdr20a protein	International Protein Index (IPI)
IPI00881058.1	Protein	International Protein Index (IPI)
IPI00750172.1	Similar to CMP-sialic acid transporterT	International Protein Index (IPI)
IPI00349443.5	Testis expressed gene 264	International Protein Index (IPI)
IPI00881260.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00928014.1	13 kDa protein	International Protein Index (IPI)
IPI00886408.1	Protein	International Protein Index (IPI)
IPI00830872.1	Protein	International Protein Index (IPI)
IPI00830221.1	103 kDa protein	International Protein Index (IPI)
IPI00753915.2	Similar to Zinc finger protein 341	International Protein Index (IPI)
IPI00858126.1	Protein	International Protein Index (IPI)
IPI00880613.1	18 kDa protein	International Protein Index (IPI)
IPI00135887.1	Transmembrane protein 106B, isoform CRA_b	International Protein Index (IPI)
IPI00880371.1	16 kDa protein	International Protein Index (IPI)
IPI00649305.3	Phospholipid scramblase 3	International Protein Index (IPI)
IPI00652698.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00453818.3	Programmed cell death 6 interacting protein isoform 3	International Protein Index (IPI)
IPI00918179.1	Slc4a4 protein	International Protein Index (IPI)
IPI00776182.2	Sodium/hydrogen exchanger	International Protein Index (IPI)
IPI00762803.1	11 kDa protein	International Protein Index (IPI)
IPI00221585.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00648777.1	Neighbor of Brca1 gene 1	International Protein Index (IPI)
IPI00222429.6	Nodal modulator 1	International Protein Index (IPI)
IPI00756917.1	Transient receptor potential cation channel, subfamily M, member 7 isoform 2	International Protein Index (IPI)
IPI00649019.1	NADH dehydrogenase (Ubiquinone) Fe-S protein 5	International Protein Index (IPI)
IPI00648871.1	Novel protein containing 10 HEAT domains	International Protein Index (IPI)
IPI00653256.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00750559.1	Similar to fatty acid desaturase	International Protein Index (IPI)
IPI00876533.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00918942.1	11 kDa protein	International Protein Index (IPI)
IPI00658313.2	Kinase D-interacting substrate 220	International Protein Index (IPI)
IPI00460291.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00407327.1	MCG20149, isoform CRA_d	International Protein Index (IPI)
IPI00658614.1	Similar to hCG2016250, isoform 3	International Protein Index (IPI)
IPI00858123.1	G protein-coupled receptor 39-1b	International Protein Index (IPI)
IPI00473401.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00755017.2	Amyotrophic lateral sclerosis 2 (juvenile) chromosome region, candidate 4 isoform 2	International Protein Index (IPI)
IPI00130524.4	P2X purinoceptor	International Protein Index (IPI)
IPI00672998.1	Similar to Golgi autoantigen, golgin subfamily a, 7	International Protein Index (IPI)
IPI00463049.1	Similar to 40S ribosomal protein S12 isoform 1	International Protein Index (IPI)
IPI00886327.1	Mediator of RNA polymerase II transcription, subunit 12 homolog	International Protein Index (IPI)
IPI00881323.1	14 kDa protein	International Protein Index (IPI)
IPI00874865.1	106 kDa protein	International Protein Index (IPI)
IPI00830897.1	Protein	International Protein Index (IPI)
IPI00123570.3	Putative uncharacterized protein	International Protein Index (IPI)
IPI00268184.34	Putative uncharacterized protein	International Protein Index (IPI)
IPI00405522.5	MKIAA0320 protein	International Protein Index (IPI)
IPI00408003.3	Gas1 protein (Fragment)	International Protein Index (IPI)
IPI00420572.6	Putative uncharacterized protein	International Protein Index (IPI)
IPI00458204.8	Similar to Tubulin, beta 4	International Protein Index (IPI)
IPI00459342.2	Putative uncharacterized protein	International Protein Index (IPI)
IPI00470126.4	60 kDa protein	International Protein Index (IPI)
IPI00473203.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00473667.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00647981.3	Y box protein 1	International Protein Index (IPI)
IPI00648821.1	Enolase	International Protein Index (IPI)
IPI00649084.1	Prohibitin	International Protein Index (IPI)
IPI00649302.4	Alkaline phosphatase	International Protein Index (IPI)
IPI00649647.1	RAS-related C3 botulinum substrate 3, isoform CRA_a	International Protein Index (IPI)
IPI00658280.1	Catenin, delta 1 isoform 3	International Protein Index (IPI)
IPI00661216.1	Similar to hCG2028724	International Protein Index (IPI)
IPI00665335.1	Similar to Tubulin, alpha 3c isoform 3	International Protein Index (IPI)
IPI00676225.2	P120ctn	International Protein Index (IPI)
IPI00751896.2	34 kDa protein	International Protein Index (IPI)
IPI00752380.1	Similar to beta myosin heavy chain	International Protein Index (IPI)
IPI00755154.7	Leiomodin 3	International Protein Index (IPI)
IPI00755843.1	SET translocation	International Protein Index (IPI)
IPI00761216.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00761685.2	61 kDa protein	International Protein Index (IPI)
IPI00762871.2	104 kDa protein	International Protein Index (IPI)
IPI00775853.1	ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1	International Protein Index (IPI)
IPI00830280.1	18 kDa protein	International Protein Index (IPI)
IPI00831626.1	Tropomyosin 1, alpha isoform 7	International Protein Index (IPI)
IPI00848593.1	Similar to hCG1640785	International Protein Index (IPI)
IPI00850941.1	Similar to Hydroxyacyl-Coenzyme A dehydrogenase/3-ketoacyl-Coenzyme A thiolase/enoyl-Coenzyme A hydratase (trifunctional protein), beta subunit	International Protein Index (IPI)
IPI00856349.1	Ribosomal protein L15	International Protein Index (IPI)
IPI00856853.1	23 kDa protein	International Protein Index (IPI)
IPI00858282.1	19 kDa protein	International Protein Index (IPI)
IPI00874570.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00875862.1	48 kDa protein	International Protein Index (IPI)
IPI00880348.1	T-complex protein 1, alpha subunit	International Protein Index (IPI)
IPI00886056.1	Protein	International Protein Index (IPI)
IPI00886213.1	11 kDa protein	International Protein Index (IPI)
IPI00895455.1	13 kDa protein	International Protein Index (IPI)
IPI00919108.1	145 kDa protein	International Protein Index (IPI)
IPI00927961.1	54 kDa protein	International Protein Index (IPI)
IPI00954313.1	High mobility group AT-hook 1 isoform c	International Protein Index (IPI)
IPI00831431.1	28 kDa protein	International Protein Index (IPI)
IPI00889859.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00664248.3	Similar to 4930529M08Rik protein	International Protein Index (IPI)
IPI00404025.1	Putative uncharacterized protein	International Protein Index (IPI)
IPI00311344.3	89 kDa protein	International Protein Index (IPI)
IPI00622968.1	Hypothetical protein	International Protein Index (IPI)
IPI00655059.1	Putative uncharacterized protein	International Protein Index (IPI)
